,승민,서연,집,은채,웃는,낮,납뜩,앞,재욱,밤,하는,과거,어머니,말,아버지,그냥,앉아,보는,잠시,못,애,생각,보면,거실,마당,손,옆,지금,엄마,모델,고개,무슨,소리,아빠,눈,얘기,표정,돈,난,얼굴,살,화면,오늘,보고,돼,막,층,동네,도면,된
승민,0.0,2.3776915468310127e-05,6.731728070498247e-06,3.138154095918726e-05,3.212390403947385e-05,2.198401966954208e-06,5.249417314678071e-06,3.179719663195614e-06,8.747294170336644e-06,6.00295585546323e-06,3.44337597763183e-05,4.435224434183635e-06,8.886571797575743e-06,5.5086099573633594e-05,4.057572078710406e-06,6.695711173802807e-06,2.26706236476973e-06,0.00012274456855284154,7.551653308631036e-05,7.97800198918183e-06,1.728967115045472e-05,0.001122754491017964,4.350013702543163e-06,1.3562450132566168e-06,1.4121045412999628e-06,1.0507902993841669e-05,3.1681856708876053e-06,0.0002794805388384789,2.5866930164461943e-05,1.6601742784550552e-06,3.9159071982206116e-06,7.51842766620988e-06,1.4305837830929795e-05,1.3470263047296788e-05,5.674147336422844e-06,7.81104356583512e-06,8.76238343839431e-06,5.226240465595311e-06,2.6126213998077112e-05,2.1362929250678167e-06,2.596292148639456e-05,2.637479034239577e-06,8.9880638512056e-06,9.176871347605204e-06,1.871883314281721e-05,3.1399849238857187e-06,1.3428126356520515e-06,1.301890084023986e-05,1.4414480210239997e-06,3.4313784922568655e-06
서연,0.0,0.0,2.9656459572314312e-05,6.90928704909417e-06,6.983292240538104e-06,4.2507247485696316e-06,2.5316430059311332e-06,7.49039731064775e-06,3.497796621315013e-06,2.3338421109135127e-05,0.0008191797280323303,1.3138946992232255e-05,3.5314076332082276e-06,8.768350696616236e-06,1.1238236376073345e-05,2.9632193363099862e-06,4.448427599468324e-06,7.522492251832982e-05,9.860364097231078e-06,3.3064168955258226e-06,5.150423261783653e-06,1.8169484955666457e-05,1.2693587791815006e-05,2.145838018413007e-06,2.2678534494958107e-06,9.086393428720273e-05,7.446848121532561e-06,4.7130091620898115e-05,6.31099577415723e-06,2.839225989139014e-06,1.0572411503629508e-05,3.18712368037144e-06,0.00027739251040221914,0.000214715144574864,2.0849028018313787e-05,3.2635300516725594e-06,5.498997349483278e-05,2.5242717139535684e-06,6.341258638379581e-06,4.075413627313748e-06,0.012626262626262626,5.587688905792683e-06,3.555710637216533e-06,6.203371325536385e-05,5.369173641223227e-06,7.340947363939211e-06,2.1168572967224277e-06,0.00018763603612619148,2.33291942158529e-06,8.475768625077765e-06
집,0.0,0.0,0.0,3.2447558256346094e-06,3.2675630971880004e-06,1.0565009674027192e-05,1.6008276492390253e-06,2.9360010491310413e-05,2.0284014060337637e-06,0.0017998560115190785,2.0993261163166624e-05,0.00011484132756574666,2.0424077372940794e-06,3.7844889943275553e-06,7.418507692992479e-05,1.7981519313710142e-06,1.1383842684401176e-05,1.1298090321453266e-05,4.0735188685393985e-06,1.9476249881844086e-06,2.6631238833743486e-06,5.8293379698592135e-06,0.00010372439736125134,3.7835181876241624e-06,4.0898769546885265e-06,0.00015997611023420503,2.9015672331815488e-05,9.333878431833751e-06,3.0557808345093e-06,5.657394950661859e-06,6.347379378633875e-05,1.8963634828156597e-06,6.5148843390867e-05,7.469040825777153e-05,0.0007846008996756983,1.9292783161464647e-06,0.0004156621498046388,1.5973579273918824e-06,3.065543778417591e-06,9.867752382568811e-06,2.6996771186166135e-05,1.683632065782872e-05,2.0525030274419656e-06,0.00030820440115884856,2.740034813055645e-06,2.8190984523149494e-05,3.7121803070319586e-06,8.122245205167913e-05,4.257247893584696e-06,3.802503061014964e-05
은채,0.0,0.0,0.0,0.0,0.2272727272727273,1.455254983957269e-06,1.450141243757142e-05,1.916879994111345e-06,3.819437371412275e-05,3.00400614259176e-06,8.3268800013323e-06,2.4359582515731016e-06,3.9508826271789117e-05,0.0005162444933920706,2.2867966156629714e-06,2.240882967646132e-05,1.489568699355285e-06,1.3943682396379848e-05,0.0002462164735235219,3.15357931251971e-05,0.00025527569775357384,4.5137352965072716e-05,2.4027749166957937e-06,1.0026043986059655e-06,1.034713571106603e-06,4.323020719373704e-06,1.9117768512882314e-06,1.7690285556589454e-05,0.003001200480192077,1.1734064787995958e-06,2.2293969169224155e-06,2.8003046731484384e-05,5.207859562775887e-06,5.0263178000008045e-06,2.890935414190099e-06,3.0216227322721394e-05,3.85517693720071e-06,1.43921476442453e-05,0.0033542039355992843,1.4239180643371747e-06,7.233266080032714e-06,1.6691070866837412e-06,4.048910842983238e-05,3.970503920475571e-06,0.00035445909542038844,1.8992712622784722e-06,9.94832310402537e-07,4.925430622190248e-06,1.0514463222457968e-06,2.0265565372795886e-06
웃는,0.0,0.0,0.0,0.0,0.0,1.4613837384719354e-06,1.4276903396760856e-05,1.9266325481449415e-06,3.723229976469187e-05,3.024187451234977e-06,8.425442139118655e-06,2.4503834114923963e-06,3.849677781969649e-05,0.0005689576695493855,2.299818789611504e-06,2.1976411984470005e-05,1.4959479258532413e-06,1.4160267798984614e-05,0.0002631763632535616,3.0813728954223126e-05,0.0002390590635259618,4.642539902630463e-05,2.4168837699648696e-06,1.0057366885469153e-06,1.0380383980783832e-06,4.358817888588615e-06,1.921486523462119e-06,1.8001368103975902e-05,0.002416237113402062,1.177599236287642e-06,2.2418917501073864e-06,2.7398761575976766e-05,5.2556819177212484e-06,5.0715802841302134e-06,2.9099210654811778e-06,2.9538955975140016e-05,3.885099477972133e-06,1.4170180084095295e-05,0.0026690391459074734,1.4298205470359963e-06,7.312674864337694e-06,1.6768481157928463e-06,3.943933047792581e-05,4.001841914438486e-06,0.00032815576460293154,1.908876108468449e-06,9.97918441921995e-07,4.969291435359954e-06,1.0548727949993966e-06,2.0372465716196074e-06
낮,0.0,0.0,0.0,0.0,0.0,0.0,9.341367573721761e-07,6.431033595719505e-05,1.0878544943847218e-06,1.2350273517390832e-05,3.7275878778842216e-06,2.148569267724622e-05,1.0926286898070855e-06,1.5943824167680561e-06,2.6816313614999976e-05,1.0070852475506176e-06,0.0075528700906344415,2.8470777593877646e-06,1.6642629162612799e-06,1.0600184008594206e-06,1.2903720310313828e-06,2.035301075982267e-06,2.248181221391894e-05,2.1794849441180062e-05,2.6695236501998582e-05,6.760618226987307e-06,6.54564496421714e-05,2.597136362817872e-06,1.4035469221409013e-06,7.407773223369055e-05,2.962120404270193e-05,1.0420784323805726e-06,5.4630260575416894e-06,5.669787065476969e-06,1.3453928367697656e-05,1.0536226126799337e-06,7.913070176271551e-06,9.328205929474099e-07,1.4062599756567023e-06,0.008375209380234507,4.106999943323401e-06,0.0002363693665300977,1.096060315322304e-06,7.581711900002275e-06,1.3131929226605535e-06,6.84219169084241e-05,2.077711968174993e-05,5.7953477266589475e-06,2.978288278450099e-05,4.6187669739686294e-05
납뜩,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1293181030482443e-06,9.656300092056728e-05,1.5231171099360544e-06,2.8093886021231485e-06,1.3271316177915796e-06,9.159522239319997e-05,1.0692564533191146e-05,1.2723196138119793e-06,0.00036978601715807123,9.493819902995945e-07,3.6699878425536074e-06,9.461585332776572e-06,0.0001370338564981455,2.4812705428523693e-05,6.012361415069383e-06,1.3150688966786751e-06,7.198123132581918e-07,7.358938169980727e-07,1.9176070718280636e-06,1.1272686704719e-06,4.108994644062448e-06,1.6712812599232323e-05,8.037449800767694e-07,1.2508122462023777e-06,0.0001803708424520815,2.1470196004282017e-06,2.101843569031269e-06,1.4855850709396584e-06,0.0001503442884204829,1.7858687421001354e-06,1.0,1.658061328372414e-05,9.201004970566904e-07,2.5981035229937357e-06,1.0271293096740944e-06,8.827943383456434e-05,1.8190951141773237e-06,2.2644483124576358e-05,1.1222369474257242e-06,7.158982238994605e-07,2.0763378052112756e-06,7.442177813424156e-07,1.1728385601795976e-06
앞,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3529455112018929e-06,3.851130691971163e-05,6.2762530434597055e-06,0.00011920182458259494,1.3600086641618631e-06,2.1410280931432863e-06,0.0002113777602412525,1.234524261055957e-06,7.80023088683425e-05,4.41169723286585e-06,2.2557703734036854e-06,1.3119040511859482e-06,1.6587232254426026e-06,2.8888575608335624e-06,0.00013297990230409844,8.812099600224415e-06,9.981467741559838e-06,1.4484440813677946e-05,0.8333333333333333,3.9228095685171e-06,1.8350410633255541e-06,1.7346174127834364e-05,0.00028394570958032827,1.2855809158769844e-06,1.0619521654266605e-05,1.1198668105073369e-05,4.499883003041921e-05,1.3025081183160168e-06,1.8399760557782607e-05,1.1274352248533324e-06,1.839315215587976e-06,5.439926887382633e-05,7.148817895302226e-06,0.00027999178690758407,1.365089936220268e-06,1.7225203458361516e-05,1.6939651981625898e-06,0.06880733944954129,8.551111131380413e-06,1.1557023896843546e-05,1.0654627411230972e-05,0.001968762304764405
재욱,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9137640076361736e-06,3.969529888575296e-06,1.6304018201371146e-06,0.13513513513513514,2.3681418611700516e-05,1.55265037418874e-06,0.00040287924366136656,1.1082448615303458e-06,5.525354377811945e-06,1.9750173472357e-05,0.0037313432835820895,0.00010111905082917621,1.0474948114090342e-05,1.6132340255146944e-06,8.068352283517165e-07,8.275647701153341e-07,2.5087782149741946e-06,1.3501167851019112e-06,6.373302152306626e-06,4.846056925015346e-05,9.156473883416844e-07,1.5223231951006362e-06,0.0013366601318837996,2.869489862092317e-06,2.7976196360073046e-06,1.8588579102645018e-06,0.002439817826935589,2.3064808729691822e-06,9.467724527087161e-05,4.7804803426648315e-05,1.069128646610716e-06,3.6093099985827442e-06,1.213065295503919e-06,0.04559270516717325,2.3571670686160335e-06,8.431703204047218e-05,1.3431758874497406e-06,8.017980803029642e-07,2.7572236963157057e-06,8.383162853333548e-07,1.4132376653087651e-06
밤,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7140016797216462e-05,0.00020536973397773791,1.9264887841107314e-06,3.4793121260754266e-06,0.00011664800298618889,1.7039428783820995e-06,1.3393490941982077e-05,9.73099633725298e-06,3.731955992774933e-06,1.8402936716103906e-06,2.486233311780453e-06,5.241786121148161e-06,0.00017941510675198853,4.132683381626035e-06,4.4854219301847066e-06,9.501428381400003e-05,3.7993728501881955e-05,8.150459658756555e-06,2.8364422315992903e-06,6.320699659314289e-06,9.608917075045643e-05,1.793591354602696e-06,4.604729978634053e-05,5.161325841382135e-05,0.006793478260869565,1.8235858213527798e-06,0.00018972931950417404,1.5199286971049614e-06,2.8451147956401465e-06,1.146989801731343e-05,2.1470961240620768e-05,2.0581213468346093e-05,1.9356574557331272e-06,0.00015428924089693478,2.5550546134406773e-06,3.67595703541417e-05,4.050841845952426e-06,5.531972959716173e-05,4.678988627250243e-06,5.196838936103133e-05
